epoch,episode,profile,scale,seed,source,epsilon,return,steps,accepted_steps,improvement_pct,mean_loss,termination_reason
0,32,small_battery,50,20320013,nearest,0.9294663573085847,0.08917198340559038,12,7,9.417198340559038,0.013399162929542387,budget
0,33,tight_tw,50,20320015,nearest,0.927262180974478,0.10785497513188998,12,5,11.485497513189,0.013074233380513034,patience
0,34,baseline,20,20290020,composite,0.9250580046403712,0.09589929414744461,12,4,10.389929414744461,0.011129185413738014,patience
0,35,tight_tw,100,20370018,nearest,0.9228538283062645,0.08565521101154969,12,9,8.86552110115497,0.010112667852684432,budget
0,36,tight_tw,20,20290017,composite,0.9206496519721578,0.025585309895279105,9,2,3.2585309895279106,0.009203802225256894,patience
0,37,baseline,50,20320015,composite,0.918445475638051,0.12077227683043536,12,8,12.477227683043536,0.009132738118370847,budget
0,38,baseline,100,20370020,composite,0.9162412993039444,0.15595792499992364,12,10,15.795792499992363,0.008494235692417007,budget
0,39,tight_tw,100,20370014,nearest,0.9140371229698376,0.08545078928147078,12,8,8.945078928147078,0.008538213025677236,budget
0,40,baseline,20,20290016,nearest,0.9118329466357309,0.09444263165455066,9,3,10.044263165455067,0.008076054860283446,patience
0,41,tight_tw,50,20320013,composite,0.9096287703016241,0.11167703743084842,12,7,11.667703743084841,0.008421614595578861,budget
0,42,baseline,20,20290013,composite,0.9074245939675174,0.15362099103471136,12,5,16.06209910347114,0.009756810665132646,budget
0,43,tight_tw,50,20320017,nearest,0.9052204176334107,0.10860660169865397,12,6,11.460660169865395,0.008262605565178808,budget
0,44,tight_tw,50,20320019,nearest,0.9030162412993039,-0.004,4,0,0.0,0.006671352229182432,patience
0,45,small_battery,50,20320020,composite,0.9008120649651972,-0.004,4,0,0.0,0.007499181903972376,patience
0,46,small_battery,50,20320014,nearest,0.8986078886310905,-0.004,4,0,0.0,0.007823770298643293,patience
0,47,tight_tw,20,20290016,composite,0.8964037122969838,0.07045420352334833,10,3,7.7454203523348335,0.006692778875596177,patience
0,48,small_battery,20,20290014,nearest,0.894199535962877,0.24730488982374116,12,6,25.33048898237411,0.007069915460798923,patience
0,49,tight_tw,50,20320017,composite,0.8919953596287703,0.15243626207895739,12,6,15.843626207895742,0.007525961321384278,patience
0,50,baseline,20,20290017,nearest,0.8897911832946636,-0.004,4,0,0.0,0.006265321420747222,patience
0,51,tight_tw,50,20320016,composite,0.8875870069605568,0.13371876489728057,8,3,13.871876489728058,0.00638214430178842,patience
0,52,tight_tw,20,20290014,composite,0.8853828306264502,-0.004,4,0,0.0,0.00759709068569302,patience
