profile,scale,method,method_role,instances,feasible_instances,feasibility_rate,mean_objective_feasible,median_objective_feasible,best_objective_feasible,std_objective_feasible,mean_runtime_sec,max_runtime_sec,mean_vehicles_used,mean_initial_objective,mean_improvement_from_initial_pct,total_accepted_moves,mean_two_opt_moves,mean_inter_route_moves,violation_instances
baseline,100,E_fixed_portfolio,portfolio_ablation,12,12,1.0,943.5560577547074,950.5636608324305,862.3763642519029,48.36733635908101,1.8039784200833917,2.4568429999999353,6.666666666666667,1147.7614878381812,17.64603498767694,907,23.416666666666668,52.166666666666664,0
baseline,100,E_adaptive_portfolio,tested_method,12,12,1.0,946.2827553902415,948.9301367457459,842.4443257357627,56.08403774632906,1.212568205000025,1.2686776249975082,6.583333333333333,1134.5971935943264,16.464438749585856,855,21.916666666666668,45,0
tight_tw,20,B_nearest_customer,baseline,12,12,1.0,480.4009280142956,477.12328563940105,419.5049442016982,37.55894087985187,0.0002728749999126497,0.00029570799961220473,3,480.4009280142956,0.0,0,0,0,0
tight_tw,20,D_composite_inter_route,week5_reference,12,12,1.0,421.00963932547285,433.6192078262106,334.5199829555222,37.777249657678006,0.006655281083112641,0.008924499998101965,2.75,421.00963932547285,0.0,146,4.416666666666667,7.75,0
tight_tw,20,E_fixed_portfolio,portfolio_ablation,12,12,1.0,408.72923290643774,407.1481702925289,334.5199829555222,34.78522406815938,0.012072027666363283,0.015424040997459088,2.5833333333333335,473.14650077406486,13.414960114255342,118,2.6666666666666665,7.166666666666667,0
tight_tw,20,E_adaptive_portfolio,tested_method,12,12,1.0,407.1247886614269,407.1481702925289,334.5199829555222,34.85349974790265,0.01559822208340241,0.01781375000064145,2.5833333333333335,473.14650077406486,13.757652234508589,128,2.6666666666666665,7.333333333333333,0
tight_tw,50,B_nearest_customer,baseline,12,12,1.0,711.6613903769553,709.2920622724928,574.8193286014217,67.0754015329208,0.0014353820000299795,0.0015661659999750555,4,711.6613903769553,0.0,0,0,0,0
tight_tw,50,D_composite_inter_route,week5_reference,12,12,1.0,651.8028985233963,653.9203781767067,578.8514802241248,34.05314646177259,0.11756104524981008,0.2631662919993687,4.166666666666667,651.8028985233963,0.0,459,15,23.25,0
tight_tw,50,E_fixed_portfolio,portfolio_ablation,12,12,1.0,624.5914343973035,630.1773204932509,555.2961556990911,33.034482651675035,0.20129014249899532,0.2545159999972384,3.9166666666666665,740.9948333027933,15.08725082332442,341,11.416666666666666,17,0
tight_tw,50,E_adaptive_portfolio,tested_method,12,12,1.0,622.544882665241,631.1058398384444,555.2961556990911,34.39333225146919,0.18789602775026046,0.24186029200063786,3.9166666666666665,740.9948333027933,15.373343619789152,346,11.416666666666666,16.416666666666668,0
tight_tw,100,B_nearest_customer,baseline,12,12,1.0,1135.9755996954707,1134.8825811481515,1014.350016817083,74.05408208517939,0.007325062582822284,0.007781084001180716,6.75,1135.9755996954707,0.0,0,0,0,0
tight_tw,100,D_composite_inter_route,week5_reference,12,12,1.0,1012.1402320846369,1013.6032060660061,944.9900279796859,35.844451499230495,0.9481338228333698,1.421891209000023,6.833333333333333,1012.1402320846369,0.0,1225,25.583333333333332,76.5,0
tight_tw,100,E_fixed_portfolio,portfolio_ablation,12,12,1.0,950.4024660986538,954.7248469554656,880.6593221721407,36.557292576688575,1.8726171563336418,2.7718038330021955,6.583333333333333,1136.2774899566966,16.103888066993413,833,18.083333333333332,51.333333333333336,0
tight_tw,100,E_adaptive_portfolio,tested_method,12,12,1.0,958.8426359495552,960.0118992762486,868.8305886281006,50.142447973257475,1.1912840658327088,1.2760196669987636,6.666666666666667,1136.2774899566966,15.418694289755807,801,18.083333333333332,44.25,0
small_battery,20,B_nearest_customer,baseline,12,10,0.8333333333333334,491.9497541742511,488.9231656801563,443.39145789910697,36.15686272303326,0.0002713645005011737,0.00029445800100802444,3.75,491.9497541742511,0.0,0,0,0,2
small_battery,20,D_composite_inter_route,week5_reference,12,11,0.9166666666666666,468.2916472521776,464.1339842034561,407.1016506736939,31.814644439601466,0.006801771000330821,0.01035583399789175,3.6666666666666665,468.2916472521776,0.0,140,2.4166666666666665,9.25,1
small_battery,20,E_fixed_portfolio,portfolio_ablation,12,11,0.9166666666666666,444.75739379572906,441.0936858489071,404.700463147077,22.141026521997663,0.011440517250169554,0.018724375000601867,3.4166666666666665,504.284438976686,11.42576812206911,103,1.3333333333333333,7.25,1
small_battery,20,E_adaptive_portfolio,tested_method,12,11,0.9166666666666666,437.52299965489334,441.0936858489071,396.92867594158196,25.44389808306862,0.013255982750403442,0.01787374999912572,3.3333333333333335,502.89066712936494,12.620309364686104,117,1.25,7.5,1
small_battery,50,B_nearest_customer,baseline,12,12,1.0,790.1489244952476,772.2990100454042,708.8769538027216,68.5821242244922,0.001421583334376919,0.001534417002403643,5.583333333333333,790.1489244952476,0.0,0,0,0,0
small_battery,50,D_composite_inter_route,week5_reference,12,12,1.0,727.4505342355704,729.9388090283283,594.3602514783407,63.27593226204483,0.09512976024992288,0.15929250000044703,5.75,727.4505342355704,0.0,433,10.25,25.833333333333332,0
small_battery,50,E_fixed_portfolio,portfolio_ablation,12,12,1.0,677.4746907458307,669.3035605605107,594.3602514783407,53.1376576263395,0.18684139591672042,0.23113287500018487,5.166666666666667,800.9891859446087,15.183812932471021,341,7.416666666666667,21,0
small_battery,50,E_adaptive_portfolio,tested_method,12,12,1.0,679.9237551148046,666.9605127548637,624.2590178003007,46.019837972590466,0.1626589409167233,0.199610458999814,5.25,791.7264201530588,13.964448325764327,340,7.5,19.166666666666668,0
small_battery,100,B_nearest_customer,baseline,12,12,1.0,1165.3720513052522,1168.2914780632523,1078.6264692977552,42.48781156715371,0.0067824896674816655,0.007367958998656832,7.916666666666667,1165.3720513052522,0.0,0,0,0,0
small_battery,100,D_composite_inter_route,week5_reference,12,12,1.0,1039.9446330625574,1033.5960276640408,940.7928804637816,55.91779524293905,0.7404140000004796,0.9470443329992122,7.833333333333333,1039.9446330625574,0.0,983,19.333333333333332,62.583333333333336,0
small_battery,100,E_fixed_portfolio,portfolio_ablation,12,12,1.0,990.1873668875922,991.6391768103349,908.9105171884412,33.81055395101311,1.619951604083629,1.9906533749999653,7.5,1179.8971450580725,15.927891929773443,928,14,63.333333333333336,0
small_battery,100,E_adaptive_portfolio,tested_method,12,12,1.0,994.9784738705815,1006.2924591120945,902.8159747121799,37.4541873927635,0.9968145974168389,1.0496512919999077,7.666666666666667,1178.4496975209138,15.434532941053682,879,14.5,53.5,0
