step,action,ucb_score,objective_before,objective_after,reward,accepted,moves,feasible,action_runtime_sec,cumulative_runtime_sec,context,termination_reason,profile,method,instance,instance_seed,construction_source
3,relocate,0.7629042702248907,454.32318695502875,448.2805870478636,0.013300223454726003,True,1,True,0.0011223750007047784,0.0030574590018659364,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
4,two_opt,0.8241870157608322,448.2805870478636,448.2805870478636,0.0,False,0,True,0.0002838340005837381,0.0033412930024496745,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
5,swap,0.8880453688256637,448.2805870478636,448.2805870478636,0.0,False,0,True,0.00046333399950526655,0.003804627001954941,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
6,relocate,0.6838072364396325,448.2805870478636,448.2805870478636,0.0,False,0,True,0.001108125001337612,0.004912752003292553,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
7,two_opt,0.6904693957870629,448.2805870478636,448.2805870478636,0.0,False,0,True,0.00029558300229837187,0.005208335005590925,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
0,two_opt,,503.03904246715706,503.03904246715706,0.0,False,0,True,0.00032395899688708596,0.00032395899688708596,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
1,relocate,,503.03904246715706,444.5205432065477,0.11632993529409792,True,5,True,0.0008704169995326083,0.0011943759964196943,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
2,swap,,444.5205432065477,398.6603892616473,0.1031676817770632,True,2,True,0.00036749999708263204,0.0015618759935023263,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
3,relocate,0.8500328870718414,398.6603892616473,388.7028370480465,0.024977530955716587,True,2,True,0.00097704200015869,0.0025389179936610162,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
4,swap,0.9273546975378955,388.7028370480465,388.7028370480465,0.0,False,0,True,0.0003476669990050141,0.0028865849926660303,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
5,two_opt,0.8880453688256637,388.7028370480465,388.7028370480465,0.0,False,0,True,0.00036499999987427145,0.0032515849925403018,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
6,relocate,0.733210198613603,388.7028370480465,381.49528617584275,0.018542573362573204,True,1,True,0.0009940419986378402,0.004245626991178142,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
7,swap,0.7420532366755945,381.49528617584275,381.49528617584275,0.0,False,0,True,0.0003255000010540243,0.004571126992232166,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
8,two_opt,0.7137668931181662,381.49528617584275,381.49528617584275,0.0,False,0,True,0.00037820799843757413,0.00494933499066974,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
9,relocate,0.6523492980805703,381.49528617584275,381.49528617584275,0.0,False,0,True,0.0009961249998013955,0.005945459990471136,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
10,swap,0.6476501003973298,381.49528617584275,381.49528617584275,0.0,False,0,True,0.0003361669987498317,0.0062816269892209675,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'nearest'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,nearest
0,two_opt,,469.2009823107724,469.2009823107724,0.0,False,0,True,0.00035224999737692997,0.00035224999737692997,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
1,relocate,,469.2009823107724,457.8724910289136,0.024144219021168756,True,4,True,0.000918583002203377,0.001270832999580307,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
2,swap,,457.8724910289136,437.18881885539724,0.04517343273241159,True,2,True,0.0004216249981254805,0.0016924579977057874,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
3,swap,0.7788763845101551,437.18881885539724,437.18881885539724,0.0,False,0,True,0.0004187500016996637,0.002111207999405451,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
4,relocate,0.8483312347820009,437.18881885539724,427.92193786927743,0.02119651872703746,True,1,True,0.000931665999814868,0.003042873999220319,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
5,two_opt,0.8880453688256637,427.92193786927743,427.89143839583767,7.127345139542262e-05,True,1,True,0.0005752910001319833,0.0036181649993523024,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
6,relocate,0.685226834362799,427.89143839583767,427.89143839583767,0.0,False,0,True,0.0009694580003269948,0.004587622999679297,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
7,swap,0.7130561121532687,427.89143839583767,427.89143839583767,0.0,False,0,True,0.0004075840006407816,0.004995207000320079,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
